22-ARTRollout.xls,,,,,
Year, In Care%, Suppr. VL%, In Care in 30 days% ,,
2017,0.526030369,,0.476138829,,0.999995652
2018,0.53633218,,0.477508651,,0.874989063
,,,,,
12-ARTRollout.xls,,,,,
Year, In Care%, Suppr. VL%, In Care in 30 days% ,,
2014,0.492566898,,0.446977205,,0.99999
2015,0.49790795,,0.453974895,,0.999992308
2016,0.496710526,,0.453947368,,0.999993333
2017,0.486735871,,0.445213379,,0.899991
2018,0.487951807,,0.434939759,,0.999992308
,,,,,
16-ARTRollout.xls,,,,,
Year, In Care%, Suppr. VL%, In Care in 30 days% ,,
2014,0.448637317,,0.407756813,,0.842100831
2015,0.477497256,,0.431394072,,0.937494141
2016,0.460556845,,0.418793503,,0.999992857
2017,0.47815534,,0.423543689,,0.761901134
2018,0.513478819,,0.459563543,,0.785708674
,,,,,
3-ARTRollout.xls,,,,,
Year, In Care%, Suppr. VL%, In Care in 30 days% ,,
2014,0.488258317,,0.435420744,,0.99999
2015,0.498991935,,0.44858871,,0.81817438
2016,0.492260062,,0.440660475,,0.999994737
2017,0.515709642,,0.460455038,,0.74999375
2018,0.510227273,,0.452272727,,0.74998125
,,,,,
1-ARTRollout.xls,,,,,
Year, In Care%, Suppr. VL%, In Care in 30 days% ,,
2014,0.491362764,,0.439539347,,0.928564796
2015,0.493493493,,0.448448448,,0.874994531
2016,0.478623566,,0.436913452,,0.874994531
2017,0.491838955,,0.438520131,,0.833326389
2018,0.496567506,,0.456521739,,0.882347751
,,,,,
13-ARTRollout.xls,,,,,
Year, In Care%, Suppr. VL%, In Care in 30 days% ,,
2014,0.484141791,,0.441231343,,1.066659556
2015,0.499034749,,0.441119691,,0.882347751
2016,0.502008032,,0.442771084,,0.999991667
2017,0.508474576,,0.444915254,,0.81817438
2018,0.503340757,,0.445434298,,0.999985714
